names,scores,method,logfoldchanges,pvals,pvals_adj
loc100497154.S,0.042692885,logreg_bal,,,
slc30a1.S,0.042684156,logreg_bal,,,
ndufa6.S,0.042542394,logreg_bal,,,
hoxd10.S,0.042526226,logreg_bal,,,
loc100497282.L,0.04246024,logreg_bal,,,
nccrp1.L,0.042424526,logreg_bal,,,
map2k1.S,0.042389296,logreg_bal,,,
kdelr3.L,0.04230726,logreg_bal,,,
cox6a1.S,0.042304948,logreg_bal,,,
Xelaev18008618m.g,0.042285025,logreg_bal,,,
gpx7.L,0.04223318,logreg_bal,,,
tgif1.L,0.042090353,logreg_bal,,,
ppig.S,0.042068772,logreg_bal,,,
lamp1.L,0.04202779,logreg_bal,,,
glrx.S,0.041974988,logreg_bal,,,
fut11.L,0.041924953,logreg_bal,,,
coq10b.L,0.041815855,logreg_bal,,,
tdrp.L,0.04169421,logreg_bal,,,
loc101733625.S,0.041658632,logreg_bal,,,
bmp4.L,0.04148518,logreg_bal,,,
ngfr.L,0.041441154,logreg_bal,,,
fam110c.L,0.041401975,logreg_bal,,,
copa.L,0.04133387,logreg_bal,,,
arpc5.S,0.041303735,logreg_bal,,,
ngf.L,0.041210406,logreg_bal,,,
klf13.L,0.041146483,logreg_bal,,,
carhsp1.S,0.04106707,logreg_bal,,,
atp1b1.L,0.040961925,logreg_bal,,,
bcam.L,0.040951148,logreg_bal,,,
trip11.L,0.040747162,logreg_bal,,,
calu.S,0.040710434,logreg_bal,,,
rbx1.L,0.040641923,logreg_bal,,,
ndst1.S,0.040459197,logreg_bal,,,
ppp1r10.S,0.040433876,logreg_bal,,,
jmjd1c.S,0.040398877,logreg_bal,,,
nr1d1.L,0.040310342,logreg_bal,,,
arhgef10.L,0.04026308,logreg_bal,,,
unc5b.S,0.040176928,logreg_bal,,,
znf608.S,0.040156234,logreg_bal,,,
wnt5a.L,0.040039904,logreg_bal,,,
nktr.S,0.040009517,logreg_bal,,,
unc5b.L,0.040001534,logreg_bal,,,
efnb3.L,0.039844703,logreg_bal,,,
taf11.S,0.039621055,logreg_bal,,,
Xelaev18047214m.g,0.039486803,logreg_bal,,,
dcaf12.S,0.039374217,logreg_bal,,,
mxd4.S,0.039282594,logreg_bal,,,
cbx3.L,0.039247274,logreg_bal,,,
rps5.L,0.039094944,logreg_bal,,,
egr1.L,0.039085653,logreg_bal,,,
vasp.L,0.039018013,logreg_bal,,,
anxa3.L,0.03898927,logreg_bal,,,
actr2.L,0.03895647,logreg_bal,,,
nhp2.S,0.038856275,logreg_bal,,,
ywhaz.S,0.038784243,logreg_bal,,,
fbxw7.like.S,0.038757373,logreg_bal,,,
slc25a37.L,0.038736604,logreg_bal,,,
cdkn1b.L,0.03872532,logreg_bal,,,
rbm26.L,0.038670503,logreg_bal,,,
bsdc1.L,0.038659457,logreg_bal,,,
jag1.S,0.03863801,logreg_bal,,,
cby1.S,0.038476393,logreg_bal,,,
ppp1r14b.L,0.038414024,logreg_bal,,,
loc101735270.S,0.038381033,logreg_bal,,,
Xelaev18028958m.g,0.038340066,logreg_bal,,,
krtcap2.L,0.03822277,logreg_bal,,,
bzw1.S,0.0382129,logreg_bal,,,
prdx2.L,0.038159408,logreg_bal,,,
esrp1.S,0.03810153,logreg_bal,,,
ddx1.L,0.038066395,logreg_bal,,,
rprd1a.S,0.037843686,logreg_bal,,,
rin2.S,0.03778111,logreg_bal,,,
psmd4.S,0.037751168,logreg_bal,,,
Xelaev18002241m.g,0.03772499,logreg_bal,,,
cnpy3.L,0.03772444,logreg_bal,,,
mapt.S,0.037660968,logreg_bal,,,
fkbp9.S,0.037639506,logreg_bal,,,
lum.L,0.037619308,logreg_bal,,,
rbm22.S,0.037611533,logreg_bal,,,
jchain.L,0.037570562,logreg_bal,,,
Xelaev18042855m.g,0.037545327,logreg_bal,,,
sfpq.S,0.037534215,logreg_bal,,,
rtcb.L,0.037485905,logreg_bal,,,
higd1a.L,0.03744882,logreg_bal,,,
dhx36.S,0.037369333,logreg_bal,,,
Xelaev18024282m.g,0.037367266,logreg_bal,,,
ckap4.S,0.037366763,logreg_bal,,,
enc1.2.S,0.0372813,logreg_bal,,,
vasn.S,0.03720891,logreg_bal,,,
dlx2.S,0.03707892,logreg_bal,,,
sec63.S,0.037045494,logreg_bal,,,
Xelaev18041553m.g,0.037040535,logreg_bal,,,
qser1.L,0.037030045,logreg_bal,,,
srrm1.L,0.036993068,logreg_bal,,,
raph1.S,0.03688082,logreg_bal,,,
eif3e.S,0.03683947,logreg_bal,,,
capn13.L,0.036825467,logreg_bal,,,
fubp3.S,0.036806062,logreg_bal,,,
pls3.L,0.036784638,logreg_bal,,,
fgfbp1.S,0.036757242,logreg_bal,,,
Xelaev18035740m.g,0.03672734,logreg_bal,,,
polr2f.L,0.036719672,logreg_bal,,,
psmb3.L,0.036677923,logreg_bal,,,
cpz.S,0.036628313,logreg_bal,,,
gpx8.S,0.036611103,logreg_bal,,,
snx29.L,0.03659768,logreg_bal,,,
ppa2.L,0.03634158,logreg_bal,,,
tmed7.L,0.036341224,logreg_bal,,,
aebp1.L,0.036327597,logreg_bal,,,
loc101735270.L,0.03630886,logreg_bal,,,
inhba.L,0.036233053,logreg_bal,,,
ankrd12.S,0.036222436,logreg_bal,,,
dapl1.S,0.03621271,logreg_bal,,,
rufy1.L,0.036171135,logreg_bal,,,
actr3.L,0.036162686,logreg_bal,,,
ggt1.L,0.036000736,logreg_bal,,,
atp5b.S,0.03599691,logreg_bal,,,
loc100498230.S,0.035984706,logreg_bal,,,
pdap1.S,0.03580432,logreg_bal,,,
net1.S,0.035797153,logreg_bal,,,
Xelaev18020998m.g,0.035671357,logreg_bal,,,
loc100488277.L,0.035639856,logreg_bal,,,
bola3.S,0.035560254,logreg_bal,,,
dap.L,0.035528034,logreg_bal,,,
gpbp1l1.S,0.035516713,logreg_bal,,,
ifrd1.S,0.035515387,logreg_bal,,,
dhdds.L,0.035477504,logreg_bal,,,
ppp2r5e.S,0.035472363,logreg_bal,,,
emilin1.L,0.035466835,logreg_bal,,,
mmp24.L,0.035373647,logreg_bal,,,
dmtn.L,0.035371352,logreg_bal,,,
c1qbp.L,0.035345893,logreg_bal,,,
naa10.S,0.035228375,logreg_bal,,,
Xelaev18016080m.g,0.035043165,logreg_bal,,,
pomp.S,0.034935333,logreg_bal,,,
rab1a.L,0.034924053,logreg_bal,,,
nfkbiz.S,0.034898076,logreg_bal,,,
hoxa11.L,0.034892302,logreg_bal,,,
clk2.S,0.034862295,logreg_bal,,,
Xelaev18015367m.g,0.034632817,logreg_bal,,,
loc100494515.like.L,0.034603618,logreg_bal,,,
MGC75753.L,0.034600753,logreg_bal,,,
gnpnat1.L,0.034586415,logreg_bal,,,
mplkip.S,0.034577746,logreg_bal,,,
zcrb1.L,0.03455881,logreg_bal,,,
ephb3.S,0.03452075,logreg_bal,,,
ddx23.S,0.034478836,logreg_bal,,,
ppib.S,0.034456328,logreg_bal,,,
tial1.L,0.034343097,logreg_bal,,,
rnf144b.L,0.03426133,logreg_bal,,,
zcchc4.S,0.03423181,logreg_bal,,,
msx1.L,0.034206785,logreg_bal,,,
egfl6.S,0.034113374,logreg_bal,,,
Xelaev18045649m.g,0.03405886,logreg_bal,,,
cry4.L,0.03405222,logreg_bal,,,
Xelaev18020334m.g,0.03405024,logreg_bal,,,
