names,scores,method,logfoldchanges,pvals,pvals_adj
loc101735270.S,0.035810065,logreg,,,
psmb3.L,0.03580515,logreg,,,
frem2.L,0.035794903,logreg,,,
fam110c.L,0.035778034,logreg,,,
dlx5.S,0.035504118,logreg,,,
mmp24.L,0.035460554,logreg,,,
loc100492954.S,0.03528153,logreg,,,
c3.L,0.035257388,logreg,,,
erf.L,0.035246804,logreg,,,
vasn.S,0.035201136,logreg,,,
Xelaev18003383m.g,0.035113808,logreg,,,
rcn3.L,0.035089135,logreg,,,
prdx2.L,0.03502239,logreg,,,
mxd4.S,0.034976408,logreg,,,
Xelaev18036021m.g,0.034920238,logreg,,,
fgfbp1.S,0.034893278,logreg,,,
hmgcl.S,0.034744266,logreg,,,
rbm26.L,0.034618817,logreg,,,
hoxa11.L,0.03457954,logreg,,,
sdc2.L,0.034555513,logreg,,,
sfpq.S,0.034504447,logreg,,,
Xelaev18037818m.g,0.03440091,logreg,,,
Xelaev18008618m.g,0.03436047,logreg,,,
pa2g4.L,0.034337915,logreg,,,
slc30a1.L,0.034291096,logreg,,,
copa.L,0.03421818,logreg,,,
taf11.S,0.03411075,logreg,,,
raph1.S,0.03407235,logreg,,,
Xelaev18020334m.g,0.034064785,logreg,,,
jag1.S,0.0340403,logreg,,,
acsl1.L,0.034022346,logreg,,,
anxa2.S,0.034011565,logreg,,,
loc100497282.L,0.03399391,logreg,,,
slc30a1.S,0.03387922,logreg,,,
ppp1r10.S,0.03386334,logreg,,,
fkbp10.L,0.033816222,logreg,,,
dlx2.S,0.03375241,logreg,,,
yeats4.L,0.033670396,logreg,,,
kazald1.L,0.033656064,logreg,,,
wdr26.L,0.033613496,logreg,,,
MGC75753.L,0.033562515,logreg,,,
wapl.S,0.03348725,logreg,,,
psmd4.S,0.033395924,logreg,,,
Xelaev18047214m.g,0.033367734,logreg,,,
cdc42ep3.S,0.033244208,logreg,,,
snai2.S,0.033211432,logreg,,,
fbxw7.like.S,0.033159114,logreg,,,
loc100488540.L,0.03311456,logreg,,,
fkbp9.S,0.0329476,logreg,,,
fgf10.L,0.03288161,logreg,,,
ckap4.S,0.0328069,logreg,,,
Xelaev18047464m.g,0.032799605,logreg,,,
dhdds.L,0.032741603,logreg,,,
cry4.L,0.032711957,logreg,,,
dapl1.S,0.032711193,logreg,,,
cnpy3.L,0.03267707,logreg,,,
cdkn1b.L,0.03261419,logreg,,,
dhx36.S,0.03254394,logreg,,,
Xelaev18003505m.g,0.03253736,logreg,,,
Xelaev18015367m.g,0.032515638,logreg,,,
ca2.L,0.03250266,logreg,,,
ywhaz.S,0.032494813,logreg,,,
egr1.L,0.032450628,logreg,,,
rnf38.L,0.03241867,logreg,,,
dap.S,0.032373693,logreg,,,
Xelaev18041485m.g,0.032337077,logreg,,,
tstd3.L,0.03226107,logreg,,,
slu7.L,0.032204404,logreg,,,
herpud1.L,0.032114264,logreg,,,
calu.S,0.031976085,logreg,,,
col14a1.S,24.025755,wilcoxon,7.160398,1.4966445803145726e-127,4.553868253826628e-123
apoc1.like.L,23.998425,wilcoxon,11.707703,2.88813588319431e-127,4.553868253826628e-123
loc100486548.L,23.833738,wilcoxon,6.3087296,1.4932254813323733e-125,1.5696288517938797e-121
lama5.L,22.908596,wilcoxon,6.0245156,3.8143960415429334e-116,3.00717447925141e-112
mdk.L,22.83139,wilcoxon,6.4566226,2.2372806395783334e-115,1.4110528993820549e-111
fras1.L,22.760252,wilcoxon,6.328063,1.1359017014580032e-114,5.9701100259130215e-111
id3.S,22.25906,wilcoxon,5.6156254,9.215941330176895e-110,4.151781569244691e-106
frem2.1.L,22.167376,wilcoxon,8.090853,7.092787882792539e-109,2.7958883235482838e-105
bambi.L,22.082897,wilcoxon,6.006778,4.615241583398511e-108,1.6171293703608004e-104
col14a1.L,21.9676,wilcoxon,5.6677723,5.879434489205429e-107,1.8540796661709319e-103
fn1.S,21.927193,wilcoxon,6.6312137,1.4298110005942765e-106,4.099008173067319e-103
id3.L,21.378096,wilcoxon,5.197448,2.13671399897485e-101,5.615106329805991e-98
msx2.L,21.128916,wilcoxon,5.127455,4.31345339384508e-99,1.0463442521146506e-95
nid2.L,20.645548,wilcoxon,7.112513,1.0704248454515247e-94,2.411131964379559e-91
egfl6.S,20.588264,wilcoxon,5.4250445,3.4966809592249213e-94,7.351188936610526e-91
azin2.S,20.300594,wilcoxon,5.0616417,1.27039686182274e-91,2.5038728148487566e-88
cpamd8.L,20.293404,wilcoxon,4.9772453,1.4705138963784236e-91,2.7278032777819755e-88
mmp3.L,20.25005,wilcoxon,7.114212,3.548874299274829e-91,6.217430612646208e-88
plk2.S,20.207544,wilcoxon,4.6405373,8.402705357780433e-91,1.3946279655663472e-87
krt8.L,20.198011,wilcoxon,5.7600694,1.019193971445148e-90,1.607014094476137e-87
fstl1.L,20.152224,wilcoxon,4.7765603,2.572950391119107e-90,3.8637138373305258e-87
Xetrov90029035m.L,20.148037,wilcoxon,9.510367,2.800038774336801e-90,4.013601034032319e-87
lama1.L,19.98893,wilcoxon,5.9237986,6.875382310453797e-89,9.4267470069635e-86
myh9.S,19.810616,wilcoxon,3.980849,2.41116719623587e-87,3.16817323055409e-84
bambi.S,19.76386,wilcoxon,4.878451,6.0959944385061235e-87,7.689487384731624e-84
frem2.L,19.733292,wilcoxon,4.803701,1.1165627601631088e-86,1.3542617939132169e-83
krt5.7.S,19.650099,wilcoxon,5.9061766,5.769977193683679e-86,6.739119659363511e-83
pltp.S,19.642927,wilcoxon,7.839879,6.645428541373395e-86,7.484413894721786e-83
Xelaev18026267m.g,19.53794,wilcoxon,6.975946,5.224925898855055e-85,5.68165649035842e-82
mdk.S,19.325539,wilcoxon,5.132617,3.2754284195131095e-83,3.443021173644864e-80
cldn6.2.S,19.212946,wilcoxon,5.4269767,2.8842829298753836e-82,2.9340600707619427e-79
krt18.L,19.05269,wilcoxon,6.0208263,6.240979611784132e-81,6.150290376800393e-78
Xelaev18017960m.g,18.995499,wilcoxon,5.2420683,1.8581362692765575e-80,1.7756462803526134e-77
sparc.L,18.874765,wilcoxon,4.448376,1.8393843653849734e-79,1.7060289988945626e-76
sparc.S,18.843655,wilcoxon,4.983117,3.3127780917388654e-79,2.9848130606567177e-76
btg1.L,18.815783,wilcoxon,3.5249133,5.607435725143465e-79,4.9119579331221994e-76
optc.S,18.708017,wilcoxon,6.61689,4.2592348894386505e-78,3.6301343848229147e-75
epcam.L,18.667105,wilcoxon,4.9293575,9.16913692330204e-78,7.609177180956048e-75
lamc1.S,18.660639,wilcoxon,4.8982167,1.0348822387378115e-77,8.367951640665868e-75
app.S,18.41341,wilcoxon,3.9889414,1.0255601168933843e-75,8.085259571558218e-73
cldn1.L,18.246193,wilcoxon,4.28035,2.218416490284285e-74,1.7062869273442667e-71
igfbp2.S,18.192953,wilcoxon,4.986616,5.8691656442161056e-74,4.40676520453226e-71
loc100490088.S,18.13633,wilcoxon,5.4113684,1.6466689915557053e-73,1.2076210848537015e-70
gpx3.L,18.126707,wilcoxon,4.225291,1.9615840174630334e-73,1.4058761816067445e-70
cldn6.1.S,18.116976,wilcoxon,5.0382967,2.341121201716937e-73,1.6406057132476355e-70
bcam.L,18.029406,wilcoxon,4.607826,1.145145508274104e-72,7.850470348570407e-70
lamc1.L,17.946114,wilcoxon,4.6065483,5.146814222446309e-72,3.4532933298903055e-69
mxra5.S,17.936518,wilcoxon,6.293757,6.116945216904424e-72,4.018705571147521e-69
vcan.L,17.905914,wilcoxon,4.4033046,1.06038630965106e-71,6.824343321397179e-69
loc100490088.L,17.831467,wilcoxon,5.1574697,4.027140303568733e-71,2.5399173894607998e-68
bmp4.L,17.666845,wilcoxon,4.6857023,7.550365794763828e-70,4.6686428497623005e-67
vwa2.S,17.609327,wilcoxon,5.3299828,2.0891487630262427e-69,1.2669481969621647e-66
cpz.S,17.578922,wilcoxon,3.9218206,3.573056295137916e-69,2.12596849560706e-66
epcam.S,17.504799,wilcoxon,4.436557,1.3168918816039344e-68,7.690404719700013e-66
