names,scores,method,logfoldchanges,pvals,pvals_adj
Xelaev18026291m.g,0.039354466,logreg,,,
prss35.S,0.038835254,logreg,,,
Xelaev18044182m.g,0.03871311,logreg,,,
klf13.L,0.038503695,logreg,,,
sparc.L,0.03848261,logreg,,,
cbx3.L,0.038442954,logreg,,,
unc5b.L,0.038022652,logreg,,,
loc101732341.L,0.037862156,logreg,,,
efemp2.L,0.03770208,logreg,,,
pmp22.S,0.03766026,logreg,,,
Xelaev18046800m.g,0.037523687,logreg,,,
Xelaev18017960m.g,0.037444808,logreg,,,
znf608.S,0.037199866,logreg,,,
kazald1.L,0.037142728,logreg,,,
vwa2.S,0.037138708,logreg,,,
bmp4.L,0.036920577,logreg,,,
ppp1r14b.L,0.03666146,logreg,,,
hsp90b1.L,0.0363177,logreg,,,
gpx8.S,0.03628779,logreg,,,
tdrp.L,0.036198687,logreg,,,
gnpnat1.L,0.03583382,logreg,,,
aebp1.L,0.035741884,logreg,,,
hs6st1.L,0.03561302,logreg,,,
nfkbiz.S,0.03560061,logreg,,,
carhsp1.S,0.035589617,logreg,,,
cldn6.2.S,0.035507645,logreg,,,
fgfr4.L,0.03548461,logreg,,,
hnrnpm.L,0.035421003,logreg,,,
hapln3.L,0.03512271,logreg,,,
jag1.S,0.035064183,logreg,,,
tef.S,0.03503376,logreg,,,
anxa3.L,0.034978975,logreg,,,
pzp.L,0.034977134,logreg,,,
c9orf3.L,0.034942314,logreg,,,
erh.L,0.03484371,logreg,,,
krt18.L,0.03483946,logreg,,,
ppib.S,0.034584973,logreg,,,
fbxw7.like.L,0.03412759,logreg,,,
mafb.L,0.033936515,logreg,,,
ereg.L,0.033826187,logreg,,,
vcan.L,0.033765215,logreg,,,
srp19.S,0.033754952,logreg,,,
hey1.L,0.033701513,logreg,,,
acvr1.L,0.033645473,logreg,,,
pnp.L,0.03363814,logreg,,,
lypla2.S,0.03351251,logreg,,,
loc100485014.L,0.03344598,logreg,,,
rhof.L,0.03342863,logreg,,,
sdc2.L,0.033261895,logreg,,,
cdc42ep3.S,0.033225045,logreg,,,
tgif1.L,0.033148754,logreg,,,
pdia3.L,0.033114195,logreg,,,
dkk1.S,0.03301879,logreg,,,
vasn.S,0.032894302,logreg,,,
epcam.S,0.032671563,logreg,,,
pfn1.L,0.03258918,logreg,,,
ptma.L,0.032529447,logreg,,,
hes4.L,0.032519657,logreg,,,
Xelaev18007840m.g,0.03249953,logreg,,,
sp8.L,0.03238715,logreg,,,
tfap2a.S,0.03214808,logreg,,,
cope.L,0.03213483,logreg,,,
Xelaev18035740m.g,0.03197674,logreg,,,
Xelaev18022556m.g,0.031970613,logreg,,,
Xelaev18026267m.g,0.03178355,logreg,,,
cldn6.1.S,0.031742156,logreg,,,
nckap5l.S,0.031666372,logreg,,,
ly6g6c.L,0.031607784,logreg,,,
wnt3a.S,0.031397868,logreg,,,
mapt.S,0.031177301,logreg,,,
tpm4.S,0.031052636,logreg,,,
mdk.S,0.03091782,logreg,,,
trip11.L,0.030877816,logreg,,,
lmnb2.S,0.0308223,logreg,,,
Xetrov90011361m.L,0.030774651,logreg,,,
kdelr1.L,0.03077231,logreg,,,
tgfb1.L,0.030686637,logreg,,,
tstd3.L,0.030632958,logreg,,,
ywhab.S,0.030550987,logreg,,,
cap1.L,0.030524211,logreg,,,
loc100494515.like.L,0.030273512,logreg,,,
ier3ip1.L,0.030137584,logreg,,,
kdelr3.L,0.030098194,logreg,,,
Xelaev18020334m.g,0.029946292,logreg,,,
srsf11.like.S,0.02989052,logreg,,,
gorasp2.L,0.02960287,logreg,,,
rbp1.L,0.029538773,logreg,,,
tspear.L,0.029323451,logreg,,,
linc00116.S,0.029056106,logreg,,,
app.S,0.028916068,logreg,,,
sema3f.S,0.028900266,logreg,,,
frem2.S,0.02888655,logreg,,,
ddost.L,0.028722374,logreg,,,
gng5.L,0.028670892,logreg,,,
brd2.S,0.02863282,logreg,,,
cpz.S,0.028576083,logreg,,,
hes9.2.L,0.02851963,logreg,,,
rcn3.L,0.028470097,logreg,,,
hoxc11.S,0.028363664,logreg,,,
pdia3.S,0.028231705,logreg,,,
Xelaev18017913m.g,0.028198201,logreg,,,
st3gal2.2.S,0.028161788,logreg,,,
chd4.L,0.0281305,logreg,,,
ccng2.L,0.028005203,logreg,,,
rbm42.L,0.027984207,logreg,,,
elf1.L,0.027849285,logreg,,,
gdi2.S,0.027792068,logreg,,,
calu.S,0.027790988,logreg,,,
enpp2.L,0.027747758,logreg,,,
prr13.like.S,0.02771515,logreg,,,
fam110c.L,0.027608948,logreg,,,
fkbp9.L,0.027508032,logreg,,,
Xelaev18037562m.g,0.027440904,logreg,,,
pfdn1.L,0.02733877,logreg,,,
bmp7.1.S,0.027308485,logreg,,,
Xelaev18036021m.g,0.027279329,logreg,,,
irs4.L,0.027252663,logreg,,,
ggt1.L,0.027181154,logreg,,,
rbm5.S,0.026984002,logreg,,,
hes3.3.S,0.026950128,logreg,,,
loc101733625.S,0.026899576,logreg,,,
xarp.like.L,0.02676563,logreg,,,
loc100488540.L,0.026634216,logreg,,,
pdcd6ip.L,0.026550362,logreg,,,
mob2.2.S,0.026504915,logreg,,,
Xelaev18039713m.g,0.026422419,logreg,,,
dhdds.L,0.026350496,logreg,,,
cmpk1.S,0.026179444,logreg,,,
arhgef10.L,0.026163949,logreg,,,
ube2i.S,0.026145767,logreg,,,
pawr.L,0.026119461,logreg,,,
amd1.S,0.026069488,logreg,,,
bag2.L,0.026053423,logreg,,,
hmgn1.S,0.025925068,logreg,,,
lsm3.L,0.025924861,logreg,,,
hoxc10.S,0.025884576,logreg,,,
ackr3.L,0.025874129,logreg,,,
Xelaev18045083m.g,0.025814716,logreg,,,
tmed2.S,0.0257712,logreg,,,
cuta.L,0.025756815,logreg,,,
fbxw7.like.S,0.025744775,logreg,,,
h1f0.S,0.025741462,logreg,,,
mxd4.S,0.02563924,logreg,,,
krtcap2.L,0.025634678,logreg,,,
fubp3.S,0.025533637,logreg,,,
esrp1.S,0.02534544,logreg,,,
Xelaev18020998m.g,0.025190309,logreg,,,
fgfbp1.S,0.025140429,logreg,,,
brd3.S,0.025089828,logreg,,,
Xelaev18037805m.g,0.025034234,logreg,,,
loc100496010.L,0.025007408,logreg,,,
lamb2.L,0.024961194,logreg,,,
hes4.S,0.024822026,logreg,,,
nucks1.S,0.024784086,logreg,,,
pum1.S,0.02473007,logreg,,,
capns1.like.L,0.024697611,logreg,,,
f3.L,0.024628244,logreg,,,
arrdc3.S,0.024604144,logreg,,,
myo9b.L,0.024533704,logreg,,,
calm1.S,0.024482226,logreg,,,
jarid2.L,0.0244565,logreg,,,
loc101735270.L,0.024363684,logreg,,,
pltp.L,0.024310265,logreg,,,
scn5a.S,0.024307376,logreg,,,
hoxa11.L,0.024272408,logreg,,,
loc100486832.L,0.02424092,logreg,,,
arid3a.S,0.02422749,logreg,,,
fkbp7.L,0.024226813,logreg,,,
cwc15.S,0.024212983,logreg,,,
myl12b.L,0.024190692,logreg,,,
naa38.like.S,0.024133442,logreg,,,
clk2.S,0.02404284,logreg,,,
nr3c1.L,0.023971818,logreg,,,
magoh.S,0.023934016,logreg,,,
loc100497848.L,0.023902208,logreg,,,
ttc9.L,0.023900444,logreg,,,
eif3i.L,0.023785487,logreg,,,
tram1.S,0.02378153,logreg,,,
tnmd.L,0.023717903,logreg,,,
lum.L,0.023635019,logreg,,,
hmcn1.L,0.023626992,logreg,,,
