names,scores,method,logfoldchanges,pvals,pvals_adj
msx2.L,0.06767886,logreg_bal,,,
arpc5.S,0.06762583,logreg_bal,,,
ctnnb1.S,0.06661669,logreg_bal,,,
cpa6.L,0.066608325,logreg_bal,,,
fgf9.L,0.066040926,logreg_bal,,,
mxra5.S,0.065859646,logreg_bal,,,
Xelaev18036372m.g,0.06576052,logreg_bal,,,
sp8.S,0.06553168,logreg_bal,,,
Xelaev18043128m.g,0.06317315,logreg_bal,,,
tinagl1.S,0.06312924,logreg_bal,,,
smdt1.S,0.061988957,logreg_bal,,,
rhou.S,0.061827958,logreg_bal,,,
cox7a2l.L,0.061016694,logreg_bal,,,
znf608.S,0.060683966,logreg_bal,,,
rspo2.L,0.059550922,logreg_bal,,,
sdc2.L,0.059508335,logreg_bal,,,
fam83b.S,0.058890212,logreg_bal,,,
prdm1.S,0.058442958,logreg_bal,,,
uqcrfs1.S,0.058408517,logreg_bal,,,
epcam.L,0.058404922,logreg_bal,,,
snai2.L,0.058054328,logreg_bal,,,
nfkbiz.S,0.057958487,logreg_bal,,,
p4hb.L,0.057884514,logreg_bal,,,
hbg2.L,0.05763919,logreg_bal,,,
lamc1.L,0.057266165,logreg_bal,,,
Xelaev18045096m.g,0.057147022,logreg_bal,,,
ube2h.S,0.05659448,logreg_bal,,,
hes1.S,0.056457624,logreg_bal,,,
cst3.L,0.056449678,logreg_bal,,,
vcan.L,0.056229483,logreg_bal,,,
atp1b1.L,0.05618334,logreg_bal,,,
mmp19.like.2.L,0.05606358,logreg_bal,,,
enc1.2.S,0.05595627,logreg_bal,,,
nccrp1.L,0.055955913,logreg_bal,,,
fbn2.S,0.055853933,logreg_bal,,,
cpa6.S,0.055852834,logreg_bal,,,
krt12.S,0.055767488,logreg_bal,,,
azin2.S,0.05465475,logreg_bal,,,
col27a1.S,0.054450072,logreg_bal,,,
erh.L,0.05413207,logreg_bal,,,
dlx2.S,0.053758007,logreg_bal,,,
prdm1.L,0.053502593,logreg_bal,,,
krt.S,0.052902423,logreg_bal,,,
sparc.L,0.052792333,logreg_bal,,,
pzp.L,0.052363325,logreg_bal,,,
sema3f.L,0.052331515,logreg_bal,,,
klf13.L,0.05196686,logreg_bal,,,
gnpnat1.L,0.05175365,logreg_bal,,,
bace2.L,0.051572304,logreg_bal,,,
loc100497154.S,0.050943922,logreg_bal,,,
tef.S,0.050943866,logreg_bal,,,
hes4.L,0.050784726,logreg_bal,,,
lef1.S,0.050781026,logreg_bal,,,
hs6st1.L,0.0507564,logreg_bal,,,
carhsp1.S,0.05074655,logreg_bal,,,
net1.L,0.050685637,logreg_bal,,,
jag1.S,0.050571542,logreg_bal,,,
hes9.1.S,0.050340302,logreg_bal,,,
cope.L,0.05003779,logreg_bal,,,
egfl6.L,0.0497483,logreg_bal,,,
fn1.L,0.049541514,logreg_bal,,,
myl6.S,0.0494584,logreg_bal,,,
srp19.S,0.0489334,logreg_bal,,,
arpc2.L,0.048798464,logreg_bal,,,
bambi.S,0.04878902,logreg_bal,,,
epcam.S,0.048239216,logreg_bal,,,
ctsv.S,0.048226573,logreg_bal,,,
tgfb1.L,0.048099447,logreg_bal,,,
jag1.L,0.047878627,logreg_bal,,,
cldn6.1.S,0.04756465,logreg_bal,,,
bmp5.L,0.047439232,logreg_bal,,,
gorasp2.L,0.047119383,logreg_bal,,,
Xelaev18046800m.g,0.04697613,logreg_bal,,,
ereg.L,0.04689754,logreg_bal,,,
lum.L,0.04630061,logreg_bal,,,
ppp1r14b.L,0.04628785,logreg_bal,,,
hnrnpm.L,0.046280313,logreg_bal,,,
loc100492954.S,0.04611239,logreg_bal,,,
Xelaev18036021m.g,0.045630235,logreg_bal,,,
fbxw7.like.L,0.045559797,logreg_bal,,,
gpx7.L,0.045529213,logreg_bal,,,
srsf11.like.S,0.045212455,logreg_bal,,,
Xelaev18007840m.g,0.045172673,logreg_bal,,,
ptma.L,0.045006555,logreg_bal,,,
anxa1.S,0.045006238,logreg_bal,,,
ly6g6c.L,0.044964354,logreg_bal,,,
